#살아있다,원래 좀비영화 엄청 좋아해서 이번 영화도 괜찮게 봤어요뭔가 좀비에 집중하기보다 생존하려는 주인공들의 감정연기를 자세히 표현해줘서 감정이입도 잘됐고 다만 좀비의 행동패턴이 상식적으로 이해되지 않는 경우도 있었어요 좀비끼리 싸우는 장면이나 .. 그래도 괜찮았어욤,0.9466379880905151,부정
#살아있다,좀비 영화 다 비슷한 내용이지~ 너무 기대들 하시고 보신것 같음나름 좀비 드라마인듯 가벼운 맘으로 보면 볼만하다 생각했음깜짝놀랄만한게 나오나했는데 역시나 그 장면은 심장 쫄깃했음,0.9999457597732544,긍정
#살아있다,코로나 시기에 일부러 시간내서 돈 내서 보러 갔는데 무슨 tv드라마보다 재미가 없노.,0.9531775712966919,부정
#살아있다,평점이 5점이나 되나요? 너무 높아서 원래 2점짜리인데,0.9540707468986511,부정
#살아있다,재미없음,0.9999516010284424,부정
#살아있다,내용은 없으나 연기력은 짱,0.9999456405639648,긍정
#살아있다,우리 살아있다,0.9972700476646423,긍정
#살아있다,볼 영화가 없어서 예매율 1위인 영화.예고편이 전부인 영화임.좀비가 한국에서 뜨니까 만들어진 아류작이며 보는 내내 번히 예성되는 내용,0.9996715784072876,부정
#살아있다,
#살아있다,
밤쉘: 세상을 바꾼 폭탄선언,<빅 쇼트> 제작진의 또 하나의 사회를 향해 던지는 돌직구.,0.9996935129165649,중립
밤쉘: 세상을 바꾼 폭탄선언,실화가 바탕인 때문인지 이야기의 나열이 주를 이루고,0.9956795573234558,중립
밤쉘: 세상을 바꾼 폭탄선언,
밤쉘: 세상을 바꾼 폭탄선언,이런게 좋은 영화가 아니면 뭐가 좋은 영화냐수작임 다만 내용이 아닌 비쥬얼쇼크족이라면 다소 실망 가능,0.9999812841415405,부정
밤쉘: 세상을 바꾼 폭탄선언,<The Big Short>가 사회고발 장르에 독을 풀었다,0.9986182451248169,중립
밤쉘: 세상을 바꾼 폭탄선언,이런 영화들이 더 많이 만들어져야 한다!!!,0.836509644985199,긍정
밤쉘: 세상을 바꾼 폭탄선언,이제 피자게이트를 보여줘,0.9999874830245972,중립
밤쉘: 세상을 바꾼 폭탄선언,넘 밋밋하다.실망!미국 언론도 참 문제많다는 사실만 재확인하는.....,0.9999903440475464,부정
밤쉘: 세상을 바꾼 폭탄선언,특별한건 없는 전형적 헐리우드 폭로극,0.963195264339447,부정
밤쉘: 세상을 바꾼 폭탄선언,미녀삼총사,0.86057448387146,긍정
다크 나이트 라이즈,.,0.7533981800079346,긍정
다크 나이트 라이즈,IMAX로 재관람!!!첨 볼때 보다 더 감명깊게 봤네요.이번에 시리즈 연달아 다 봤더니...ㅠ 도대체 히어로물이 왜 감동이냐구요.보통 3편 실망하는데 이만하면 만족할만한 끝맺음입니다. 이제 다시 크리스천 베일의 배트맨 못 보나요. 그는   진정한 다크 나이트.ㅠ,0.99998939037323,부정
다크 나이트 라이즈,
다크 나이트 라이즈,나에게 배트맨은 다크나이트 시리즈 뿐이다,0.992230236530304,중립
다크 나이트 라이즈,
다크 나이트 라이즈,미국식 영웅얘기=히어로 물이라고 생각했던,0.9999983310699463,중립
다크 나이트 라이즈,사요나라  우려먹기 이러고 있네 원래 3부작이였어 빡대야,0.9985861778259277,부정
다크 나이트 라이즈,또 다른   뉴버전의  배트맨 시리즈!!   진심으로 기대됩니다!!  사랑해요 배트맨 !!,1.0,긍정
다크 나이트 라이즈,우려먹기 이제그만,0.9999852180480957,부정
다크 나이트 라이즈,지금 보니 재밌다,0.9999995231628418,긍정
소년시절의 너,호구남의 희생은 케케묵은 스토리지만 실화니까 토달 수 없다 급변하는 사회의 어두운 면이라는 공감 물론 그 분들의 수인한도 내 또는 관심 밖이라 가능했겠지만,0.9894222617149353,부정
소년시절의 너,학교폭력 상이한 커플 희생과 극복..주동우의 매력,0.9999788999557495,긍정
소년시절의 너,이영화 절대강추 이다 마침내 드디어 올해 두번째 절대강추 하게됐다 상반기도 끝나고 이제는 하반기 7월이 됐지만 이제야 올해 두번째 절대강추 하게됐다 지난해에는 기생충을 끝내 고민끝에 최종 그냥 강추 평점을 줬는데 올해는 지프라기라도 잡고 싶은 짐승들을 절대강추를 줄까 고민고민 하다가 결국은 그냥 기생충처럼 강추 평점만 주게됐는데  물론 기생충도 지푸라기라도 잡고 싶은 짐승들도 절대강추 평점을 받아도 전혀 손색이 없지만  이영화 소년시절의 너는 내 기준에선 상당부분 충족 합격 절대강추 평점을 주겠다 학교폭력과 대학입시 그리고 우정과사랑 스토리를 잘 짬뽕해서 시나리오를 너무너무 잘썼고 무엇보다도 이를 잘 연출했다 묘하게 프랑스의 옛날영화 이브몽땅인지 장가방인지 둘 중 누군지 갑자기 떠오르지 않는데 암튼 알랑드롱과 함께한 암흑가의 두 사람이란 영화가 난 왠지 어쩐지 떠올랐다,0.7547277212142944,긍정
소년시절의 너,한국영화가 신파극을 공산품 찍어내듯이.,0.9565100073814392,부정
소년시절의 너,
소년시절의 너,https://youtu.be/m_--UbeMzfU 칭구 왕따 시키지 말아라. 나중에 후회하지 말고,0.9997472167015076,부정
소년시절의 너,주동우,0.8439359068870544,긍정
소년시절의 너,남주 미쳤네.네이버 평점 못달아 이민옴~남주 후까시 장난아님.,0.9999781847000122,부정
소년시절의 너,
소년시절의 너,댓글 마케팅 오지게 하네..ㅎㅎㅎㅎ,0.9820906519889832,긍정
온워드: 단 하루의 기적,
온워드: 단 하루의 기적,애들이 보러가자고 졸라서 억지로따라갔는데 ㅜㅜ 너무잼있게봤어요. 심장 쫄깃해지고 스릴넘쳐요,0.9998027682304382,긍정
온워드: 단 하루의 기적,와 아들 둘이랑 정말 잼있게 봤네요 감동 슬픔 재미  다있네요  남자형제있는집에 강추입니다,0.9999988079071045,긍정
온워드: 단 하루의 기적,ㅠㅠㅠㅠㅠ보고 울었어요,0.9999840259552002,긍정
온워드: 단 하루의 기적,그냥 저냥 괜춘한 내용 늘 보던 미국식 가족애 소재가 마법사라는 점이 좀 새롭긴 했지만 마법보다는 가족 그냥 디즈니,0.9431276917457581,부정
온워드: 단 하루의 기적,주제를 보자면 어느 정도는 예상이 되지만알고봐도 그 감동은 어느새 흐르는 눈물이 말해줬어요아이들과 보러갔다가 아버지와 형제들 생각에 눈물이 멈추지 않았어요명작입니다,0.9988963603973389,긍정
온워드: 단 하루의 기적,.,0.7533981800079346,긍정
온워드: 단 하루의 기적,
온워드: 단 하루의 기적,눈물을 참을만 했다 https://sp017.tistory.com/389 10살 딸 - 7점 7살 아들 - 9점,0.9998875856399536,긍정
온워드: 단 하루의 기적,5학년 아들이랑 둘이서 봤습니다.저는 좋은 영화였다고 생각했는데우리 아들에게서도 같은 느낌을 받았습니다.말하지 않아도 통하는....,0.9052053093910217,긍정
결백,전개가 허술하다고? 시나리오가 부실하다고?거의 완벽한 시나리오와 사운드,0.9999954700469971,부정
결백,배우들의 연기가 다했다,0.9998674392700195,중립
결백,신혜선 진짜 연기잘한다,0.9999994039535522,긍정
결백,음....볼만하군~  신혜선 ... 오~~~~~~~굿,1.0,긍정
결백,증거조작한 검새는 어떻게 됬을까,0.9999804496765137,부정
결백,보통,0.6415203213691711,긍정
결백,잘 보았어요신혜선 짱♡♡♡,1.0,긍정
결백,신혜선 참 연기 잘함 ㅎ,0.9999994039535522,긍정
결백,시나리오가 조금 헐렁한 구조라도배우들의 연기가 좋으면 볼만하구나......,0.7288557887077332,부정
결백,스토리가 탄탄하고 지루하지 않고 좋았어요^^,0.9999959468841553,긍정
원 데이,
원 데이,옹옹홍은 꼴페미,0.9999934434890747,부정
원 데이,연출은 조금 아쉬웠지만 훈남훈녀의 열연과 배경이 너무 좋네요. 소소한 웃음으로 이끌다 마지막엔 잔잔한 음악과 함께 여운있는 먹먹함까지... 좋은 영화였습니다.,0.9999997615814209,긍정
원 데이,
원 데이,남자가 쓰레기로만 비쳐질 수 있다. 엠마는 이 남자를 통해 느꼈던 슬픔보단 행복이 더 컸다고 생각했다. 엠마는 "내일 무슨일이 있더라도 우리는 오늘 하루 살았어."라고 이야기할 수 있는 사람이기 때문이다.그렇기에 결말이 비극적으로 끝났지만 그년는 비록 짧은 시간이었지만 그와 함께했던 하루하루를 행복하게 살았기에 후회는 없을 것이다.,0.9968984127044678,긍정
원 데이,난 이미 남자에게 정이 싹싹 털려 욕만 나오던데 여자는 무슨 이유인지도 모르게 계속 다 받아주기만 하더라주인공이 혼자서 연애하는 영화,0.9999978542327881,부정
